cation,cation_charge,anion,anion_charge,solubility
Na,1,HSO4,-1,SL
Na,1,Cl,-1,SL
Na,1,SO3,-2,SL
Na,1,F,-1,SL
Na,1,I,-1,SL
Na,1,S,-2,SL
Mg,2,NO2,-1,SL
Mg,2,Cl,-1,SL
Mg,2,S,-2,RW
Mg,2,CO3,-2,NS
Mg,2,HSO4,-1,ND
Mg,2,PO4,-3,NS
Mg,2,SO3,-2,SS
Mg,2,NO3,-1,SL
Mg,2,SO4,-2,SL
Mg,2,I,-1,SL
Mg,2,HCO3,-1,SL
Mg,2,Br,-1,SL
Mg,2,OH,-1,NS
Mg,2,F,-1,NS
Al,3,NO3,-1,SL
Al,3,CO3,-2,ND
Al,3,Br,-1,SL
Al,3,SO4,-2,SL
Al,3,HCO3,-1,ND
Al,3,I,-1,SL
Al,3,HSO4,-1,ND
Al,1,NO3,-1,SL
Al,3,NO2,-1,ND
Al,3,Cl,-1,SL
Al,3,OH,-1,NS
Al,3,PO4,-3,NS
Al,3,S,-2,RW
Al,3,SO3,-2,ND
Al,3,F,-1,SS
Si,2,O,-2,ND
Si,4,O,-2,ND
P,3,O,-2,ND
P,5,O,-2,ND
S,6,O,-2,ND
S,2,O,-2,ND
S,4,O,-2,ND
Cl,1,O,-2,ND
Cl,3,O,-2,ND
Cl,5,O,-2,ND
Cl,7,O,-2,ND
K,1,HCO3,-1,SL
K,1,NO3,-1,SL
K,1,SO3,-2,SL
K,1,I,-1,SL
K,1,HSO4,-1,SL
K,1,S,-2,SL
K,1,SO4,-2,SL
K,1,NO2,-1,SL
K,1,PO4,-3,SL
K,1,CO3,-2,SL
K,1,Br,-1,SL
K,1,F,-1,SL
K,1,OH,-1,SL
K,1,Cl,-1,SL
Ca,2,F,-1,NS
Ca,2,NO3,-1,SL
Ca,2,Cl,-1,SL
Ca,2,SO4,-2,SS
Ca,2,NO2,-1,SL
Ca,2,HSO4,-1,ND
Ca,2,Br,-1,SL
Ca,2,PO4,-3,NS
Ca,2,S,-2,SS
Ca,2,I,-1,SL
Ca,2,CO3,-2,NS
Ca,2,HCO3,-1,SS
Ca,2,SO3,-2,NS
Ca,2,OH,-1,SS
Sc,3,NO3,-1,SL
Ti,4,NO3,-1,SL
Ti,2,NO3,-1,SL
V,3,NO3,-1,SL
V,5,NO3,-1,SL
Cr,3,NO2,-1,ND
Cr,3,SO4,-2,SL
Cr,3,F,-1,NS
Cr,3,HSO4,-1,ND
Cr,3,PO4,-3,NS
Cr,4,NO3,-1,SL
Cr,3,OH,-1,NS
Cr,6,NO3,-1,SL
Cr,3,SO3,-2,RW
Cr,3,I,-1,ND
Cr,3,S,-2,RW
Cr,3,CO3,-2,ND
Cr,3,HCO3,-1,ND
Cr,3,Cl,-1,SL
Cr,3,Br,-1,SL
Cr,2,NO3,-1,SL
Mn,2,Cl,-1,SL
Mn,2,HCO3,-1,ND
Mn,2,SO3,-2,ND
Mn,2,HSO4,-1,ND
Mn,6,NO3,-1,SL
Mn,2,S,-2,NS
Mn,2,I,-1,SL
Mn,2,CO3,-2,NS
Mn,2,Br,-1,SL
Mn,4,NO3,-1,SL
Mn,2,NO2,-1,ND
Mn,7,NO3,-1,SL
Mn,2,NO3,-1,SL
